编号,原始案号,预备,未遂,中止,较大,巨大,特别巨大,凶器,多次,流窜,扒窃,入户,系自首,立功,系坦白,如实供述,自愿认罪,认罪认罚,累犯,前科,未成年,老年人,残疾,精神病,谅解,和解,赔偿,黑恶势力,灾害,性别,学历,就业状况,法官性别,法官原始刑期,预测刑期1,预测刑期2,刑期差值1,刑期差值2,刑期差值3,slope_judge,slope_machine1,法官姓名编码
52999,295010,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,7,6.59,6.85,0.41,0.15,-0.26,-0.591639481031338,-0.627654400699433,6021.0
53000,293024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,7.92,7.82,1.92,1.82,0.1,-0.541446149634493,-0.32383280693369,7474.0
53001,28103,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,19,17.01,16.32,1.99,2.68,0.69,-0.470836478153296,-0.519480543715015,3668.0
53002,29485,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,1,10,14.83,16.35,4.83,6.35,-1.52,-0.607996211467002,-0.737066369147931,6616.0
53003,57054,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,1,0,14,11.6,11.3,2.4,2.7,0.29,-0.177722210158934,-0.162682862450376,2407.0
53004,18744,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,14.52,15.09,7.52,8.09,-0.57,-0.0330356593275446,-0.747669605244688,1160.0
53005,265734,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,12,7.11,6.35,4.89,5.65,0.76,-0.220944256188912,-0.0494788686700118,10821.0
53006,40710,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,7.2,6.04,5.2,4.04,1.16,-0.211602846846951,-0.0298206381498422,15358.0
53007,155131,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,5,5.58,6.21,0.58,1.21,-0.63,-0.542735425440824,-0.495290741306282,8468.0
53008,156156,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,11,11.56,11.43,0.56,0.43,0.13,-0.140825067315717,-0.133929545039156,7091.0
53009,54022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,12,13.32,13.5,1.32,1.5,-0.19,-0.707848341365968,-0.659350173364146,12780.0
53010,46789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,6,7.5,6.99,1.5,0.99,0.51,0.0673397051292804,-0.055659498921436,9420.0
53011,24242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,6,5.86,6.51,0.14,0.51,-0.65,-0.103728053413465,-0.11244784719502,1398.0
53012,123048,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,24,8.58,9.07,15.42,14.93,-0.49,-0.0047099970082509,-0.158414300525423,8494.0
53013,125763,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,5.84,5.58,6.16,6.42,0.26,-0.015227712247019,-0.44656896899562,8458.0
53014,135327,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,6.37,5.14,5.37,4.14,1.23,-0.220403026580576,-0.190061323219992,9662.0
53015,270259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,8,8.64,8.3,0.64,0.3,0.34,-0.275656213893618,-0.314066782082556,9851.0
53016,32681,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,7.85,7.94,0.85,0.94,-0.09,-0.154459483487739,-0.195141882019924,15164.0
53017,193018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,7,10.96,10.74,3.96,3.74,0.23,-0.364046804655991,-0.11854969469634,
53018,233008,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,2,1,0,6,9.18,9.26,3.18,3.26,-0.08,0.340454803016568,-0.19957974962447,1342.0
53019,291864,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,6,7.92,9.15,1.92,3.15,-1.23,0.649969403079522,0.0286360598726406,15302.0
53020,299370,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6.54,6.99,3.54,3.99,-0.46,-0.580150267012391,-0.401874938666793,5441.0
53021,286427,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,8,9.32,9.34,1.32,1.34,-0.02,-0.0404551217169724,-0.229053674117024,9727.0
53022,174789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,8.07,8.03,1.93,1.97,0.04,-0.00873679868557,-0.172596156945665,14080.0
53023,77151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,12,17.85,16.89,5.85,4.89,0.96,-0.503612825851215,-0.307621270784928,6242.0
53024,117681,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,5.81,6.32,0.81,1.32,-0.51,-0.542735425440824,-0.482213706308816,15435.0
53025,288332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,2,5,4.82,5.33,0.18,0.33,-0.51,-0.607511937013748,-0.609797116708553,1010.0
53026,286647,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,8,1,0,4,6.99,6.99,2.99,2.99,-0.01,-0.540359989264225,-0.139049105043553,
53027,224286,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,16,16.08,15.92,0.08,0.08,0.16,-0.583679195685334,-0.580400038997639,13580.0
53028,56326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,6.13,6.3,3.13,3.3,-0.17,-0.447637846307402,-0.315821130108804,10905.0
53029,67336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,28,20.03,20.25,7.97,7.75,-0.22,-0.30777858282392,-0.558394197141787,15659.0
53030,278080,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,15,15.0,14.65,0.0,0.35,0.34,-0.136742779665388,-0.136742779665388,484.0
53031,105147,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,2,3,5.2,5.6,2.2,2.6,-0.4,-0.817543631505238,-0.660605079715576,
53032,24446,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,9.47,9.41,1.47,1.41,0.07,-0.369447404757401,-0.511399001023245,3729.0
53033,231512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,8,1,0,6,4.69,4.77,1.31,1.23,-0.09,-0.417119454680017,-0.599873706655018,
53034,251116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5.4,4.74,1.6,2.26,0.67,-0.140237386918527,-0.294872928256423,17111.0
53035,304489,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,5,4.83,4.29,0.17,0.71,0.54,-0.475446569268882,-0.48311788194352,8980.0
53036,73113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,9,7.64,7.91,1.36,1.09,-0.27,0.286795449138371,0.424054651414662,609.0
53037,9983,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,7,9.66,9.35,2.66,2.35,0.31,-0.15066367004369,-0.527179270081436,10663.0
53038,271411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,9.26,9.6,3.26,3.6,-0.34,0.12818771801756,-0.348602414733334,
53039,113062,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,6,8.71,8.75,2.71,2.75,-0.04,-0.300377576516955,-0.152385582842558,713.0
53040,233922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,8,1,1,4,9.07,8.36,5.07,4.36,0.7,-0.502967395412014,-0.196101003406277,11185.0
53041,90837,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,7,9.67,10.08,2.67,3.08,-0.41,-0.0130811051001493,-0.211737532918795,7035.0
53042,70647,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,20,19.85,20.62,0.15,0.62,-0.77,-0.472135607376233,-0.475265578145112,11052.0
53043,46527,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,4.78,4.82,1.78,1.82,-0.04,-0.693874622189474,-0.585886971148927,4646.0
53044,232055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,12,12.77,12.75,0.77,0.75,0.02,-0.503612825851215,-0.463674416028841,896.0
53045,96448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,6.66,6.32,1.66,1.32,0.34,-0.423267930102971,-0.272997101050727,
53046,225452,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3,5.06,5.31,2.06,2.31,-0.25,-0.853728789937016,-0.746909966332008,13933.0
53047,247883,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,8.67,8.77,2.67,2.77,-0.1,-0.174594105503176,-0.507256305193981,9554.0
53048,160558,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,6,11.26,12.3,5.26,6.3,-1.04,-0.131561965769056,-0.321946365391165,15543.0
53049,281115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,9,5.69,5.93,3.31,3.07,-0.25,0.130556687582741,-0.0954261228274718,1407.0
53051,226803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,10,8.51,8.54,1.49,1.46,-0.04,-0.508477972404789,-0.34834118028868,7016.0
53052,38282,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,5.08,5.32,0.08,0.32,-0.24,-0.695222514955579,-0.685746448989215,5965.0
53053,193330,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,7,10.48,10.32,3.48,3.32,0.16,-0.100927375784978,-0.598554184861381,3868.0
53054,228216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,15,11.43,11.26,3.57,3.74,0.17,-0.64156673843077,-0.687691823146272,1784.0
53055,149152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,1,8,8.46,8.15,0.46,0.15,0.31,0.15618294206033,0.141197978412239,3632.0
53056,268567,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,11.58,12.08,4.58,5.08,-0.5,-0.262018856348016,-0.0510478317667781,5143.0
53057,103299,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,18,9.15,9.58,8.85,8.42,-0.43,-0.28880546630306,-0.0559690276116737,10742.0
53058,39702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5,6.36,6.72,1.36,1.72,-0.35,-0.254309697809888,-0.190170181766827,2781.0
53059,237116,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,6.68,6.54,0.68,0.54,0.13,-0.568683094928285,-0.49358465438199,15381.0
53060,161448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,2,4,4.55,4.35,0.55,0.35,0.2,-1.10021852397584,-0.972052099602924,8181.0
53061,70022,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,36,30.5,30.65,5.5,5.35,-0.15,-0.279602916546162,-0.0635982262995657,
53062,26910,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,5,6.4,6.61,1.4,1.61,-0.21,0.0918255588349827,0.127874077528062,4926.0
53063,106347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,5,8.07,7.39,3.07,2.39,0.68,0.0015676465781809,-0.0141407184947638,3648.0
53064,248117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,30,13.81,13.75,16.19,16.25,0.06,-0.138815396146027,-0.618669376058628,15310.0
53065,10504,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,5.35,5.64,1.35,1.64,-0.29,-0.730766092337309,-0.658847044882728,13011.0
53066,153005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,6,7.94,7.21,1.94,1.21,0.74,-0.447980347967917,-0.164954549360301,5846.0
53067,126842,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,14,10.26,10.06,3.74,3.94,0.21,0.283545089564773,0.219372709705476,16886.0
53068,79788,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,2,96,17.52,13.27,78.48,82.73,4.25,-0.0117978710524025,0.0899886612367713,12045.0
53069,188631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,11,10.07,9.65,0.93,1.35,0.42,-0.616388012499882,-0.625941043907161,13934.0
53070,74238,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4,5.66,5.76,1.66,1.76,-0.1,-0.345391315287892,-0.270452091895327,14958.0
53071,185312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5.19,3.98,2.19,0.98,1.21,-0.538119245866653,-0.484220683050641,10210.0
53072,263080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,4,0,0,36,24.54,23.97,11.46,12.03,0.57,0.0988348150964037,0.181993428223853,
53073,215184,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,8,8.79,8.61,0.79,0.61,0.18,-0.52098489330492,-0.616751206112033,6079.0
53074,158760,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,6,6.28,5.84,0.28,0.16,0.44,0.105216949373552,0.103508413353921,10724.0
53075,254949,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,36,27.48,27.91,8.52,8.09,-0.43,-0.120747530552598,-0.0673800915197539,9906.0
53076,236699,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,40,36.27,35.94,3.73,4.06,0.34,-0.0872981221277814,-0.086663065652715,
53077,184390,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,4,6.72,6.56,2.72,2.56,0.16,-0.179343886381528,-0.0368100765358839,7863.0
53078,229229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,9,8.76,8.7,0.24,0.3,0.06,-0.54272270887352,-0.491137309493069,3766.0
53079,28968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,1,2,8,10.33,10.42,2.33,2.42,-0.1,-0.29199296724308,-0.494676954596465,
53080,213410,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,7,10.44,10.46,3.44,3.46,-0.02,0.297270666680125,-0.43422721267123,1839.0
53081,145800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,14,19.86,18.39,5.86,4.39,1.48,0.172235383565508,0.139190222617181,
53082,276610,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,9,9.21,9.08,0.21,0.08,0.13,-0.578609697859551,-0.596670669192425,12083.0
53083,103079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,8.01,8.02,0.01,0.02,0.0,-0.424936056374865,-0.424993069128367,16531.0
53084,51041,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,16,12.81,12.5,3.19,3.5,0.31,-0.622166957993563,-0.654516361858102,15155.0
53085,226610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,8,1,0,3,4.91,5.15,1.91,2.15,-0.24,-0.601582581644312,-0.522574714696556,4143.0
53086,129657,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,10,8.26,7.9,1.74,2.1,0.36,-0.803406873879603,-0.552139280719574,7751.0
53087,223858,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,2,47,17.2,17.06,29.8,29.94,0.14,-0.0020077342123923,-0.029730167388842,14391.0
53088,148928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,8,8.73,8.85,0.73,0.85,-0.12,-0.26765064869951,-0.317614482935091,12315.0
53089,167316,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,6,7.02,8.03,1.02,2.03,-1.01,0.177720441162819,-0.0141838270733063,1902.0
53090,8673,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,6.86,7.01,4.86,5.01,-0.15,-0.204796700411083,-0.0446287342107182,14584.0
53091,296756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,18,21.75,24.95,3.75,6.95,-3.2,0.392634171479788,0.292370785839538,15642.0
53092,208586,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,7,8.81,9.44,1.81,2.44,-0.63,-0.233549300478406,-0.146339491545261,12617.0
53093,149018,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,12,16.07,16.34,4.07,4.34,-0.27,-0.651147561631272,-0.553329340930546,3520.0
53094,210022,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,11,6.52,7.67,4.48,3.33,-1.15,-0.10998045959038,-0.394218419165496,5709.0
53095,26627,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,14,5.99,5.32,8.01,8.68,0.66,-0.166235529390603,-0.304974502654746,1293.0
53096,198177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,4,5.08,5.32,1.08,1.32,-0.24,-0.746166843825295,-0.642854469790389,2155.0
53097,156842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,6,4.82,5.21,1.18,0.79,-0.39,-0.537116203790136,-0.60987050794982,3345.0
53098,71437,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6.25,5.4,2.25,1.4,0.84,-0.657310407398025,-0.529896139106873,
53099,115094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,6,8.82,8.21,2.82,2.21,0.61,0.445488566896597,0.164075024467231,15232.0
53100,156637,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,5.77,5.37,0.23,0.63,0.4,-0.471711476894939,-0.438387287218084,11528.0
53101,304917,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,2,5,6.16,6.66,1.16,1.66,-0.5,0.144040794867304,0.211130823669246,9990.0
53102,143852,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,6,7.9,8.16,1.9,2.16,-0.26,0.063753277849883,-0.0019073425727827,
53103,38789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,7,7.88,7.61,0.88,0.61,0.27,0.030232203106152,-0.0662958037022982,4335.0
53104,96767,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,15,6.69,7.03,8.31,7.97,-0.34,0.190225480356398,0.140767429246291,5174.0
53105,149350,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,9,11.55,10.68,2.55,1.68,0.86,-0.494514257978709,-0.792575671756649,16703.0
53106,112583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,7,8.17,8.09,1.17,1.09,0.08,-0.0698920429389721,-0.0292058312681148,
53107,259716,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,1,0,11,10.92,10.66,0.08,0.34,0.26,-0.477202356989196,-0.465890073857925,7754.0
53108,253116,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,1,24,13.33,12.89,10.67,11.11,0.44,-0.378381064692368,-0.703585454373192,10687.0
53109,281562,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,10,11.21,11.1,1.21,1.1,0.1,-0.604554767098755,-0.614010745714994,16967.0
53110,127384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,9,13.41,12.22,4.41,3.22,1.19,0.0356700921393744,-0.0561547338524805,8825.0
53111,5674,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,5.94,6.33,0.06,0.33,-0.39,-0.198578163815161,-0.201770072530947,7317.0
53112,88410,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,10,9.16,9.06,0.84,0.94,0.1,-0.818861287659042,-0.721425320307134,4625.0
53113,48798,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,2,5.42,5.87,3.42,3.87,-0.44,0.153128951574327,0.276717744960447,14180.0
53114,272142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,4,5.06,4.44,1.06,0.44,0.62,-0.652033718407319,-0.601346052259139,8780.0
53115,85410,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,8.64,8.75,1.36,1.25,-0.1,-0.652158877556617,-0.525922879907763,9855.0
53116,249968,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,1,36,29.33,29.16,6.67,6.84,0.18,-0.0191977619649981,0.161560558745873,4569.0
53117,197750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,8,5.55,5.82,2.45,2.18,-0.27,-0.119612299555156,-0.330280506600593,
53118,34819,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,3,6.02,6.11,3.02,3.11,-0.09,-0.330491589538207,-0.104873692185873,8836.0
53119,269975,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,12,9.42,9.44,2.58,2.56,-0.01,-0.719792890906312,-0.576223175193405,7528.0
