编号,原始案号,预备,未遂,中止,较大,巨大,特别巨大,凶器,多次,流窜,扒窃,入户,系自首,立功,系坦白,如实供述,自愿认罪,认罪认罚,累犯,前科,未成年,老年人,残疾,精神病,谅解,和解,赔偿,黑恶势力,灾害,性别,学历,就业状况,法官性别,法官原始刑期,预测刑期1,预测刑期2,刑期差值1,刑期差值2,刑期差值3,slope_judge,slope_machine1,法官姓名编码
69,194697,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,6,1,0,3,5.33,5.14,2.33,2.14,0.19,-0.842593971066981,-0.688145808724432,10914.0
70,160803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,6,6.42,5.55,0.42,0.45,0.87,-0.332412922932261,-0.289752326112595,12583.0
71,263191,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,7,7.43,6.99,0.43,0.01,0.44,-0.128637960582152,-0.121622760606584,6458.0
72,136721,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6,0,1,6,8.11,8.33,2.11,2.33,-0.22,-0.0436152312277803,-0.0470978464793852,6953.0
73,275129,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,4,1,2,2,3.89,4.31,1.89,2.31,-0.42,-0.568722776565168,-0.651381334522145,5140.0
74,118892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,8,5.38,5.61,2.62,2.39,-0.23,-0.0402910429788393,-0.463615922651162,4106.0
75,211376,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,7,9.28,8.81,2.28,1.81,0.47,-0.150704153119832,-0.0864688636760286,13905.0
76,239703,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,8,24.76,25.51,16.76,17.51,-0.74,0.33688868183223,0.0293001983312824,
77,5906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,1,0,12,8.63,8.97,3.37,3.03,-0.34,-0.467003087750777,-0.302790361080226,6314.0
78,212668,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,4,5.34,5.05,1.34,1.05,0.29,-0.133555285472583,0.0421897306534324,10056.0
79,247652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,3,4.32,4.95,1.32,1.95,-0.63,-0.936623822634854,-0.872124463368755,11767.0
80,191528,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,12,7.82,7.76,4.18,4.24,0.06,-0.355476069721183,-0.0600369780495497,357.0
81,138783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,5.82,6.19,1.82,2.19,-0.37,-0.317854624007159,-0.20959327865908,9127.0
82,255042,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,8,1,0,9,6.86,7.1,2.14,1.9,-0.24,-0.142450794346236,-0.324795052553236,2843.0
83,303552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,5,1,0,6,14.97,15.63,8.97,9.63,-0.66,-0.526284279152919,0.0610269531109695,11181.0
84,282849,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,4,5.88,6.27,1.88,2.27,-0.4,-0.592377091093463,-0.475736776839593,15304.0
85,48474,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,10,9.58,9.74,0.42,0.26,-0.17,-0.547660217974632,-0.518087595602326,562.0
86,170186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,12,11.63,11.8,0.37,0.2,-0.18,-0.715016429227119,-0.70697778177776,8061.0
87,118192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,12,13.7,11.99,1.7,0.01,1.7,-0.137985820846224,-0.116222973151762,14414.0
88,179111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,1,6,6.38,6.75,0.38,0.75,-0.37,0.0641010555566356,0.0624184183680732,15415.0
89,294805,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,10.42,10.66,0.42,0.66,-0.24,-0.725014770098351,-0.733076549087815,5909.0
90,250421,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,11,15.25,15.21,4.25,4.21,0.04,-0.74576914059737,-0.757258135292036,3269.0
91,286426,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,4,4.81,4.98,0.81,0.98,-0.17,-0.802896406323868,-0.708076223629811,11006.0
